sr.no,Manufacturer,Category,Screen,GPU,graphics card,OS,CPU_core,Screen_Size_cm,CPU_frequency(ghz),CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,price group
33,Dell,4,IPS Panel,2,2gb,1,5,33.02,less than 2ghz,1.6,8,256,1.21,2069,2000-3000$
34,Asus,3,Full HD,3,3gb,1,7,39.624,less than 2ghz,1.8,8,256,1.7,1420,1500-2000$
35,HP,3,Full HD,2,2gb,1,5,43.942,less than 2ghz,1.6,8,256,2.5,1179,1000-1500$
36,Acer,4,IPS Panel,2,2gb,1,7,35.56,less than 2ghz,1.8,8,256,1.6,1123,1000-1500$
37,Acer,3,Full HD,3,3gb,1,3,39.624,2.5 -3 ghz,2.7,4,256,2.2,727,1000-1500$
38,HP,3,Full HD,2,2gb,1,7,35.56,less than 2ghz,1.8,8,256,1.63,1255,1500-2000$
39,HP,3,IPS Panel,2,,1,5,33.02,,2.5,4,256,,888,
40,Lenovo,3,IPS Panel,1,1gb,1,5,35.56,less than 2ghz,1.6,8,256,1.75,1418,1500-2000$
41,Asus,4,Full HD,2,2gb,1,7,35.56,less than 2ghz,1.8,8,256,1.25,1396,1000-1500$
42,HP,4,Full HD,2,2gb,1,5,35.56,2.5 -3 ghz,2.7,4,256,1.48,1374,1000-1500$
43,HP,3,Full HD,1,1gb,1,5,39.624,less than 2ghz,1.6,6,256,1.91,786,500-1000$
44,Acer,3,IPS Panel,3,3gb,1,5,43.18,less than 2ghz,1.6,4,256,3,1023,1000-1500$
45,Dell,3,Full HD,1,1gb,1,5,39.624,less than 2ghz,1.6,8,256,2.13,925,1000-1500$
46,Lenovo,1,IPS Panel,3,3gb,1,7,38.1,2.5 -3 ghz,2.8,16,256,2.5,1371,500-1000$
47,Acer,3,IPS Panel,3,3gb,1,5,43.18,less than 2ghz,1.6,8,256,3,1085,1000-1500$
48,Huawei,4,IPS Panel,2,2gb,1,5,33.02,2-2.5 ghz,2.5,8,256,1.05,1714,1000-1500$
49,HP,3,Full HD,3,3gb,1,5,43.942,less than 2ghz,1.6,8,256,2.5,1172,1000-1500$
50,Dell,4,Full HD,2,,1,5,33.782,,1.6,8,256,,1777,
51,Acer,4,IPS Panel,2,2gb,1,5,33.02,less than 2ghz,1.2,8,256,1.12,1256,1500-2000$
52,HP,3,Full HD,3,3gb,1,7,43.942,less than 2ghz,1.8,8,256,2.5,1327,1500-2000$
53,Dell,4,Full HD,2,2gb,1,7,33.782,less than 2ghz,1.8,8,256,1.2,1841,2000-3000$
54,Dell,4,IPS Panel,1,1gb,1,7,33.02,less than 2ghz,1.8,8,256,1.4,1184,1500-2000$
55,HP,3,Full HD,3,3gb,1,7,35.56,less than 2ghz,1.8,8,256,1.63,1310,1000-1500$
56,Dell,4,Full HD,2,2gb,1,5,35.56,less than 2ghz,1.6,8,256,1.6,1460,500-1000$
57,Dell,3,Full HD,1,1gb,2,5,39.624,less than 2ghz,1.6,8,256,2.2,860,500-1000$
58,Toshiba,4,Full HD,2,2gb,1,7,33.782,2-2.5 ghz,2.5,8,256,1.2,1731,1000-1500$
59,Acer,3,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.7,8,256,2.2,1057,1000-1500$
60,Asus,3,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2,977,500-1000$
61,Dell,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.6,1091,500-1000$
62,Dell,3,Full HD,1,,2,7,39.624,,2.7,16,256,,1142,
63,Acer,1,IPS Panel,3,3gb,1,5,38.1,2-2.5 ghz,2.5,8,256,2.5,1075,1000-1500$
64,Dell,1,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.56,1117,1000-1500$
65,Asus,1,Full HD,3,3gb,1,7,43.942,2.5 -3 ghz,2.9,16,256,3.6,3810,500-1000$
66,Acer,3,IPS Panel,3,3gb,1,3,43.18,2.5 -3 ghz,2.7,4,256,3,892,1000-1500$
67,Dell,4,Full HD,2,2gb,1,5,33.782,less than 2ghz,1.6,8,256,1.41,1206,1000-1500$
68,Lenovo,3,Full HD,2,2gb,1,7,39.624,less than 2ghz,1.8,8,256,2.05,1118,2000-3000$
69,Dell,3,Full HD,1,,2,7,39.624,,1.8,8,256,,934,
70,Lenovo,1,IPS Panel,3,3gb,1,5,38.1,2-2.5 ghz,2.5,8,256,2.5,1053,1000-1500$
71,Lenovo,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,6,256,2.2,735,500-1000$
72,Acer,3,IPS Panel,3,3gb,1,7,38.1,less than 2ghz,1.8,8,256,3,1208,1000-1500$
73,Lenovo,3,IPS Panel,2,2gb,1,7,38.1,2.5 -3 ghz,2.7,8,256,1.95,1394,1000-1500$
74,Asus,4,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,8,256,1.7,1241,1500-2000$
75,Dell,3,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.8,8,256,2,2323,1000-1500$
76,Lenovo,3,Full HD,2,2gb,1,5,39.624,less than 2ghz,1.6,8,256,2.05,939,500-1000$
77,Acer,3,Full HD,3,3gb,2,7,39.624,2.5 -3 ghz,2.8,8,256,2.5,1244,1000-1500$
78,Dell,5,Full HD,3,3gb,1,7,43.942,2.5 -3 ghz,2.9,16,256,3.42,3665,3000-4000$
79,Toshiba,3,IPS Panel,3,3gb,1,7,38.1,2-2.5 ghz,2.5,8,256,2.2,1325,2000-3000$
80,Lenovo,3,IPS Panel,2,2gb,1,5,33.02,2-2.5 ghz,2.5,8,256,1.1,1269,1000-1500$
81,HP,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.95,1245,500-1000$
82,HP,3,Full HD,2,2gb,1,7,35.56,2.5 -3 ghz,2.7,8,256,1.48,1641,1500-2000$
83,Asus,3,Full HD,2,2gb,1,7,35.56,2.5 -3 ghz,2.7,8,256,2,1390,1000-1500$
84,Asus,4,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.7,8,256,1.7,1334,2000-3000$
85,HP,4,Full HD,2,2gb,1,7,31.75,2.5 -3 ghz,2.7,8,256,1.26,1696,500-1000$
86,Toshiba,3,IPS Panel,2,2gb,1,5,38.1,2-2.5 ghz,2.5,8,256,2,1198,1500-2000$
87,Asus,1,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.8,8,256,2.5,1269,500-1000$
88,HP,3,Full HD,2,2gb,1,5,35.56,2.5 -3 ghz,2.6,8,256,1.48,1611,1500-2000$
89,HP,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,8,256,1.84,1453,500-1000$
90,Dell,3,Full HD,3,3gb,1,5,39.624,less than 2ghz,1.6,8,256,2,1452,500-1000$
91,Dell,4,Full HD,2,2gb,1,7,33.782,less than 2ghz,1.8,8,256,1.2,2006,2000-3000$
92,HP,3,Full HD,2,2gb,1,7,39.624,2.5 -3 ghz,2.7,8,256,1.84,1656,1000-1500$
93,HP,5,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.8,8,256,2.6,2208,1500-2000$
94,Dell,3,Full HD,2,2gb,1,5,35.56,2.5 -3 ghz,2.6,8,256,1.36,1813,1500-2000$
95,Asus,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,2,1200,2000-3000$
96,Dell,3,Full HD,1,1gb,1,7,39.624,2.5 -3 ghz,2.7,8,256,2.33,1142,1000-1500$
97,HP,4,IPS Panel,2,2gb,1,7,35.56,2.5 -3 ghz,2.7,8,256,1.36,2223,2000-3000$
98,Lenovo,3,IPS Panel,3,3gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.5,1396,1000-1500$
99,Lenovo,3,IPS Panel,2,2gb,1,3,33.02,2-2.5 ghz,2.4,4,128,1.5,697,1000-1500$
100,Dell,5,IPS Panel,3,3gb,1,7,38.1,2.5 -3 ghz,2.7,8,256,2,2712,3000-4000$
101,MSI,1,Full HD,3,3gb,1,7,43.942,2.5 -3 ghz,2.8,8,256,2.7,1714,1500-2000$
102,Dell,3,Full HD,1,1gb,2,7,39.624,2.5 -3 ghz,2.7,8,256,2.33,989,1000-1500$
103,Lenovo,3,IPS Panel,1,1gb,1,7,38.1,less than 2ghz,1.8,8,256,2.1,1562,2000-3000$
104,Lenovo,3,IPS Panel,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.9,1192,1000-1500$
105,Acer,3,Full HD,3,3gb,2,7,39.624,2.5 -3 ghz,2.8,8,256,2.5,1117,1000-1500$
106,Dell,3,Full HD,1,1gb,2,5,39.624,2-2.5 ghz,2.5,4,256,2.3,761,1000-1500$
107,HP,4,Full HD,2,2gb,1,7,35.56,2-2.5 ghz,2.5,8,256,1.43,1905,1000-1500$
108,Lenovo,4,IPS Panel,1,1gb,1,7,35.56,less than 2ghz,1.8,8,256,1.75,1544,2000-3000$
109,HP,3,Full HD,2,2gb,1,7,39.624,2.5 -3 ghz,2.9,8,256,2.31,1813,2000-3000$
110,Dell,4,Full HD,2,2gb,2,7,35.56,2.5 -3 ghz,2.8,8,256,1.6,1396,1000-1500$
111,Lenovo,3,IPS Panel,2,2gb,1,7,33.02,2.5 -3 ghz,2.7,8,256,1.4,1283,500-1000$
112,Lenovo,3,IPS Panel,2,2gb,1,3,35.56,2.5 -3 ghz,2.7,4,128,1.7,761,1000-1500$
113,Asus,3,Full HD,2,2gb,2,5,39.624,2-2.5 ghz,2.5,4,256,2,710,500-1000$
114,Dell,3,Full HD,1,1gb,1,5,39.624,less than 2ghz,1.6,4,256,2.2,951,1000-1500$
115,Lenovo,4,IPS Panel,2,2gb,1,5,30.48,2-2.5 ghz,2.5,8,256,1.36,1815,500-1000$
116,Dell,3,Full HD,3,3gb,1,5,35.56,2.5 -3 ghz,2.8,8,256,1.64,1498,500-1000$
117,MSI,1,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.2,1306,1000-1500$
118,Dell,5,IPS Panel,3,3gb,1,7,38.1,2.5 -3 ghz,2.7,16,256,2.17,2509,1000-1500$
119,Lenovo,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.65,1709,1000-1500$
120,Lenovo,3,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.9,8,256,2.67,2655,3000-4000$
121,Dell,4,Full HD,2,,1,5,,,1.6,8,256,1.42,2340,
122,Dell,5,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.8,8,256,1.78,3059,1500-2000$
123,Toshiba,3,IPS Panel,2,2gb,1,5,33.02,2-2.5 ghz,2.5,8,256,1.05,2124,2000-3000$
124,HP,3,IPS Panel,2,2gb,1,5,33.02,less than 2ghz,1.6,4,128,1.49,922,1000-1500$
125,Lenovo,3,IPS Panel,2,2gb,1,5,35.56,less than 2ghz,1.6,8,256,1.75,1333,2000-3000$
126,Lenovo,3,IPS Panel,3,3gb,1,5,38.1,2-2.5 ghz,2.5,8,256,2.3,1286,500-1000$
127,Lenovo,3,Full HD,2,2gb,1,7,39.624,less than 2ghz,1.8,8,256,2.17,1142,1000-1500$
128,Lenovo,3,IPS Panel,2,2gb,1,3,33.02,2-2.5 ghz,2.4,8,256,1.4,1206,1000-1500$
129,Lenovo,3,IPS Panel,2,2gb,1,5,38.1,2-2.5 ghz,2.5,8,256,2.3,1157,1000-1500$
130,Lenovo,3,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.5,8,256,1.44,1206,2000-3000$
131,Dell,4,IPS Panel,2,2gb,1,5,33.782,2-2.5 ghz,2.5,8,128,1.29,1142,1000-1500$
132,HP,3,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.04,1129,2000-3000$
133,HP,4,IPS Panel,2,2gb,1,7,33.02,2.5 -3 ghz,2.7,8,256,1.32,1777,1000-1500$
134,Dell,3,Full HD,2,2gb,1,5,35.56,2.5 -3 ghz,2.6,8,256,1.64,1626,1000-1500$
135,Lenovo,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.3,8,256,2.02,1702,500-1000$
136,Dell,3,Full HD,2,2gb,1,5,39.624,2.5 -3 ghz,2.8,8,256,1.9,1749,1500-2000$
137,Dell,3,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.8,8,256,1.93,1739,1000-1500$
138,Dell,3,Full HD,1,1gb,1,5,39.624,less than 2ghz,1.6,8,256,2.2,1013,1500-2000$
139,Lenovo,3,IPS Panel,3,3gb,1,7,35.56,2.5 -3 ghz,2.7,8,256,1.87,1091,1000-1500$
140,Dell,3,Full HD,2,2gb,1,3,35.56,2-2.5 ghz,2,4,128,1.6,935,1000-1500$
141,HP,3,Full HD,2,2gb,1,3,39.624,2-2.5 ghz,2.4,4,128,2.1,896,1500-2000$
142,Lenovo,3,Full HD,2,2gb,1,3,39.624,2-2.5 ghz,2,4,128,2.2,634,500-1000$
143,Dell,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,8,256,1.9,1419,1500-2000$
144,Lenovo,3,Full HD,2,2gb,1,3,39.624,2.5 -3 ghz,2.7,4,128,2.05,800,1000-1500$
145,Lenovo,3,IPS Panel,3,3gb,1,7,43.18,2.5 -3 ghz,2.8,8,256,3.4,3810,1000-1500$
146,Lenovo,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.3,1054,1500-2000$
147,Dell,3,Full HD,1,1gb,2,7,39.624,2.5 -3 ghz,2.7,8,256,2.2,951,500-1000$
148,HP,3,Full HD,2,2gb,1,3,33.782,2-2.5 ghz,2.4,4,128,1.49,913,2000-3000$
149,Dell,3,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.8,16,256,1.93,1953,500-1000$
150,Lenovo,4,IPS Panel,2,2gb,1,7,35.56,2.5 -3 ghz,2.6,12,256,1.4,2125,2000-3000$
151,Lenovo,3,IPS Panel,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.7,1872,500-1000$
152,Dell,5,Full HD,3,,1,7,,,2.8,8,256,2.06,2240,
153,HP,3,Full HD,2,2gb,1,7,39.624,2.5 -3 ghz,2.7,8,256,1.84,1548,1000-1500$
154,Toshiba,3,IPS Panel,2,2gb,1,7,38.1,2-2.5 ghz,2.5,8,256,2.2,1777,2000-3000$
155,Dell,3,Full HD,1,1gb,2,5,39.624,2-2.5 ghz,2.5,4,128,2.18,723,500-1000$
156,Lenovo,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.3,8,256,1.65,1861,1000-1500$
157,Dell,3,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.8,8,256,2,2312,1000-1500$
158,Lenovo,3,Full HD,2,2gb,1,5,39.624,less than 2ghz,1.6,4,256,1.8,1053,500-1000$
159,Acer,4,IPS Panel,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.8,1167,1000-1500$
160,Razer,1,Full HD,3,3gb,1,7,35.56,2.5 -3 ghz,2.8,16,256,1.95,3301,3000-4000$
161,Toshiba,3,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.3,8,256,1.2,1541,1500-2000$
162,Lenovo,4,IPS Panel,2,2gb,1,7,30.48,2.5 -3 ghz,2.7,8,256,1.36,2012,500-1000$
163,Dell,4,Full HD,2,2gb,1,5,33.782,less than 2ghz,1.6,8,256,1.2,1842,1500-2000$
164,Dell,3,Full HD,1,1gb,1,7,39.624,less than 2ghz,1.8,8,256,2.2,1167,1500-2000$
165,Dell,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.4,8,256,1.56,1561,1000-1500$
166,Toshiba,3,IPS Panel,2,2gb,1,5,38.1,2-2.5 ghz,2.5,8,256,2,1598,1500-2000$
167,Asus,4,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.1,1442,1000-1500$
168,Acer,1,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,16,256,2.5,1650,1500-2000$
169,MSI,1,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.2,1268,1000-1500$
170,HP,3,IPS Panel,1,1gb,1,3,43.18,2-2.5 ghz,2,4,256,2.5,888,500-1000$
171,Lenovo,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.5,4,256,1.7,888,500-1000$
172,Toshiba,3,IPS Panel,2,2gb,1,5,33.02,2-2.5 ghz,2.5,8,256,1.5,1236,500-1000$
173,Dell,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.18,1010,1000-1500$
174,Lenovo,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.3,8,256,1.8,1513,1500-2000$
175,Dell,3,Full HD,3,3gb,2,5,35.56,2.5 -3 ghz,2.8,8,256,1.64,1383,1000-1500$
176,Lenovo,3,IPS Panel,3,3gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.87,1089,2000-3000$
177,Dell,3,Full HD,2,2gb,1,5,39.624,2.5 -3 ghz,2.6,8,256,1.9,1498,2000-3000$
178,HP,3,Full HD,3,3gb,1,7,43.942,2.5 -3 ghz,2.7,8,256,2.63,1524,1500-2000$
179,Lenovo,4,IPS Panel,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.32,1904,1000-1500$
180,Lenovo,3,IPS Panel,2,2gb,1,5,33.02,2-2.5 ghz,2.5,8,256,1.44,1219,2000-3000$
181,HP,5,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.8,16,256,2.6,3073,1500-2000$
182,Toshiba,3,IPS Panel,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.25,1950,2000-3000$
183,Samsung,4,Full HD,2,2gb,1,7,33.782,2.5 -3 ghz,2.7,16,256,0.81,2095,1500-2000$
184,HP,3,Full HD,2,2gb,1,3,39.624,2-2.5 ghz,2,8,256,1.86,685,1000-1500$
185,HP,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.4,8,256,1.84,2414,2000-3000$
186,HP,5,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.6,8,256,2.59,1983,1500-2000$
187,Dell,4,Full HD,2,2gb,1,7,31.75,2.5 -3 ghz,2.8,16,256,1.18,2361,1000-1500$
188,Samsung,4,Full HD,2,,1,7,,,2.7,8,256,1.31,2031,
189,Dell,3,Full HD,1,1gb,1,7,39.624,2.5 -3 ghz,2.7,16,256,2.3,1501,500-1000$
190,Acer,3,IPS Panel,2,2gb,1,3,35.56,2-2.5 ghz,2.4,4,128,1.8,808,1000-1500$
191,Dell,1,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.62,1251,1500-2000$
192,Dell,3,Full HD,1,1gb,1,3,39.624,2-2.5 ghz,2,8,256,2,939,1000-1500$
193,HP,5,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.8,8,256,3.14,2623,3000-4000$
194,Asus,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.37,1396,1500-2000$
195,Dell,4,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.5,8,256,1.29,1904,1500-2000$
196,Samsung,4,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.5,8,256,0.81,1904,1500-2000$
197,Dell,3,Full HD,1,1gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.18,1003,1000-1500$
198,Lenovo,4,Full HD,2,2gb,1,7,35.56,2.5 -3 ghz,2.7,8,256,1.32,2361,1500-2000$
199,MSI,1,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.4,1523,1500-2000$
200,Acer,3,IPS Panel,2,2gb,1,3,35.56,2-2.5 ghz,2.4,8,128,1.5,786,1000-1500$
201,Lenovo,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.3,8,256,1.7,1507,500-1000$
202,Lenovo,3,IPS Panel,2,2gb,1,5,35.56,2.5 -3 ghz,2.6,8,256,1.32,2096,1500-2000$
203,Dell,3,Full HD,1,1gb,1,7,39.624,2.5 -3 ghz,2.7,4,256,2.18,939,1000-1500$
204,Lenovo,4,IPS Panel,3,3gb,1,7,35.56,2.5 -3 ghz,2.8,8,256,1.96,2417,3000-4000$
205,Asus,3,IPS Panel,3,3gb,1,7,38.1,2.5 -3 ghz,2.7,8,256,2.3,1000,1500-2000$
206,Dell,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,8,128,1.9,1200,1500-2000$
207,HP,3,Full HD,1,1gb,1,5,39.624,2.5 -3 ghz,2.6,8,256,1.84,1714,1000-1500$
208,Toshiba,3,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.5,4,128,1.05,1632,1500-2000$
209,Acer,3,IPS Panel,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.56,1146,1500-2000$
210,Toshiba,3,IPS Panel,2,2gb,1,7,38.1,2.5 -3 ghz,2.7,8,256,2,1763,1500-2000$
211,Samsung,4,Full HD,3,3gb,1,7,38.1,2.5 -3 ghz,2.7,16,256,1.23,2349,1000-1500$
212,Dell,4,Full HD,2,2gb,1,7,31.75,2.5 -3 ghz,2.8,8,256,1.6,2147,1000-1500$
213,Xiaomi,4,IPS Panel,3,3gb,1,5,33.02,2-2.5 ghz,2.3,8,256,1.28,1188,1000-1500$
214,HP,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,4,256,2.04,1066,500-1000$
215,HP,3,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.5,4,128,1.95,1607,2000-3000$
216,Samsung,4,Full HD,2,2gb,1,7,38.1,2.5 -3 ghz,2.7,8,256,1.17,2158,1000-1500$
217,Lenovo,4,IPS Panel,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.32,2285,1500-2000$
218,Toshiba,3,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.5,8,256,1.05,1874,1000-1500$
219,Dell,3,Full HD,2,2gb,1,5,35.56,2.5 -3 ghz,2.8,8,256,1.6,1531,500-1000$
220,Lenovo,3,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.7,6,256,2.2,1002,1000-1500$
221,HP,3,Full HD,3,3gb,1,7,39.624,2.5 -3 ghz,2.7,8,256,2.04,1294,1500-2000$
222,Lenovo,3,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.5,4,128,1.44,1119,500-1000$
223,HP,3,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.5,8,256,1.49,1219,1500-2000$
224,HP,4,Full HD,1,1gb,1,7,39.624,2-2.5 ghz,2.5,8,256,1.84,1648,1000-1500$
225,Toshiba,3,IPS Panel,3,3gb,1,7,38.1,2.5 -3 ghz,2.6,16,256,2.4,2509,1000-1500$
226,Lenovo,4,IPS Panel,2,2gb,1,7,30.48,2.5 -3 ghz,2.7,8,256,1.36,2096,1000-1500$
227,HP,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.3,8,256,2.31,1480,1000-1500$
228,Toshiba,3,IPS Panel,2,2gb,1,5,35.56,2-2.5 ghz,2.3,4,128,1.47,1404,1500-2000$
229,HP,2,Full HD,2,2gb,1,5,31.75,2-2.5 ghz,2.3,8,256,1.26,2120,1500-2000$
230,Dell,4,Full HD,2,2gb,1,5,35.56,2-2.5 ghz,2.5,8,256,1.36,2082,2000-3000$
231,Dell,4,Full HD,2,,1,5,,,2.5,8,256,1.36,1870,
232,Dell,4,Full HD,2,2gb,1,7,35.56,2.5 -3 ghz,2.8,8,256,1.36,2255,1500-2000$
233,Toshiba,3,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.3,8,256,1.2,1855,2000-3000$
234,Lenovo,4,IPS Panel,2,2gb,1,7,35.56,2.5 -3 ghz,2.6,8,256,1.7,1891,2000-3000$
235,Toshiba,3,Full HD,2,2gb,1,5,33.782,2-2.5 ghz,2.4,8,256,1.2,1950,1500-2000$
